month,day,TIME,TOTAL_FP_IDEX,DSP_CNT_IDEX,clustering,score
6,21,4,-0.42165737039294426,0.13157894736842105,13,3
3,22,3,-0.42164224990759386,0.1724137931034483,13,3
10,10,4,-0.421547892271961,0.07142857142857142,1,2
10,19,0,-0.42117500179506645,0.18181818181818182,13,3
10,8,1,-0.42107349336767763,0.09345794392523364,1,2
10,11,2,-0.420749821624855,0.0684931506849315,1,2
11,19,5,-0.4204721707963965,0.08771929824561403,1,2
12,11,5,-0.42031327837539845,0.09174311926605505,1,2
5,13,3,-0.4199679793146747,0.3,7,7
2,9,5,-0.41954318158956116,0.1724137931034483,13,3
9,22,0,-0.41929819360226367,0.09708737864077668,1,2
10,13,2,-0.4191436529991651,0.18018018018018017,13,3
6,7,3,-0.4189769021662108,0.06802721088435373,1,2
5,25,2,-0.41885699365760437,0.17857142857142855,13,3
8,7,0,-0.4188498608210672,0.5504587155963303,7,7
10,15,1,-0.4186077541397555,0.09009009009009009,1,2
10,28,0,-0.41851074923486814,0.08771929824561403,1,2
10,5,0,-0.4184668454745191,0.20618556701030927,13,3
7,2,0,-0.4184347972946084,0.10101010101010102,1,2
9,4,5,-0.4182953400242659,0.18518518518518517,13,3
9,13,1,-0.4180310617231522,0.15037593984962405,13,3
8,6,5,-0.4179489148901193,0.17391304347826086,13,3
11,6,4,-0.4178432928112378,0.09009009009009009,1,2
6,1,2,-0.4176860863651855,0.38461538461538464,7,7
3,20,0,-0.41759316209937714,0.09708737864077668,1,2
4,20,2,-0.41754360869298657,0.19801980198019803,13,3
2,4,0,-0.41747831670876456,0.09708737864077668,1,2
5,28,2,-0.4172974946300544,0.09090909090909091,1,2
4,11,2,-0.4171885197232869,0.17543859649122806,13,3
4,17,2,-0.41715056359098984,0.19417475728155337,13,3
10,4,1,-0.41713644484003254,0.07692307692307693,1,2
3,28,3,-0.4170252487880138,0.08620689655172414,1,2
11,22,1,-0.41692737676008645,0.07751937984496124,1,2
10,30,0,-0.41684756054327315,0.5309734513274336,7,7
4,18,1,-0.4167532339410237,0.19417475728155337,13,3
10,10,7,-0.41665070274760024,0.04830917874396135,1,2
3,25,4,-0.41642981590757067,0.1,1,2
9,26,0,-0.41574098525936937,0.08695652173913043,1,2
3,18,2,-0.4151508567502761,0.20618556701030927,13,3
4,8,1,-0.4147671331691968,0.10638297872340426,1,2
8,10,0,-0.41460871062631444,0.2803738317757009,7,7
10,20,0,-0.41457081025238723,0.17699115044247787,13,3
5,19,5,-0.4145274174834583,0.17699115044247787,13,3
2,8,3,-0.4142056411517752,0.0813008130081301,1,2
12,11,0,-0.41418675163738633,0.29411764705882354,7,7
5,25,1,-0.4141483067174881,0.35398230088495575,7,7
9,3,2,-0.41400647929642564,0.39215686274509803,7,7
11,12,4,-0.4139919812658716,0.17699115044247787,13,3
4,13,5,-0.4139906143435822,0.09523809523809525,1,2
1,1,6,-0.4138177232984586,0.07692307692307693,1,2
3,28,0,-0.4134391310965628,0.45871559633027525,7,7
11,21,5,-0.41321796236278335,0.15873015873015872,13,3
5,13,5,-0.41308298889770817,0.09009009009009009,1,2
10,14,1,-0.4128453361015709,0.09433962264150943,1,2
10,7,3,-0.4128184903372098,0.09708737864077668,1,2
10,18,1,-0.41274924599486496,0.13513513513513514,13,3
7,12,4,-0.41228779207457467,0.06666666666666667,1,2
8,16,2,-0.41216486516860157,0.06369426751592357,1,2
2,20,0,-0.4121045246539114,0.18518518518518517,13,3
5,5,4,-0.41192875961066383,0.19230769230769232,13,3
4,15,5,-0.41182396567992363,0.19607843137254902,13,3
3,20,5,-0.41149748903209366,0.09433962264150943,1,2
12,1,0,-0.41109487806881084,0.1,1,2
4,7,2,-0.41104319433210323,0.11363636363636365,1,2
10,19,4,-0.4108928515510691,0.2564102564102564,13,3
8,6,0,-0.410706603529244,0.09174311926605505,1,2
5,25,0,-0.4104707795465645,0.3571428571428571,7,7
8,30,4,-0.4104023824673589,0.08064516129032258,1,2
4,4,4,-0.41029761487597083,0.1020408163265306,1,2
10,17,1,-0.41008581334681177,0.0813008130081301,1,2
10,29,0,-0.4100212425250947,0.09090909090909091,1,2
2,18,4,-0.40976132033495427,0.09433962264150943,1,2
7,4,3,-0.40884083936079113,0.16666666666666666,13,3
10,1,7,-0.408728274968904,0.16666666666666666,13,3
4,28,5,-0.4086339659757315,0.1834862385321101,13,3
8,9,5,-0.40855151413531965,0.07633587786259542,1,2
